cohort,app_id,score,label
validation,V01,0.98,1
validation,V02,0.96,1
validation,V03,0.92,1
validation,V04,0.88,1
validation,V05,0.84,0
validation,V06,0.78,1
validation,V07,0.74,1
validation,V08,0.71,0
validation,V09,0.68,1
validation,V10,0.62,0
validation,V11,0.58,0
validation,V12,0.54,1
validation,V13,0.48,0
validation,V14,0.43,0
validation,V15,0.37,0
validation,V16,0.32,0
validation,V17,0.28,0
validation,V18,0.22,0
validation,V19,0.15,0
validation,V20,0.08,0
test,T01,0.98,1
test,T02,0.96,0
test,T03,0.92,1
test,T04,0.88,0
test,T05,0.84,1
test,T06,0.78,1
test,T07,0.74,0
test,T08,0.71,1
test,T09,0.68,0
test,T10,0.62,0
test,T11,0.58,1
test,T12,0.54,0
test,T13,0.48,0
test,T14,0.43,1
test,T15,0.37,0
test,T16,0.32,0
test,T17,0.28,0
test,T18,0.22,0
test,T19,0.15,0
test,T20,0.08,1
